11, 51, 34, 房间00, 密码342466, 12047f08, 06, 04, 游戏状态, 1, 用户进入, 0
11, 51, 52, 房间00, 密码342466, 12047f08, 06, 04, 			游戏状态, 1, 服务器, 大结算					, [0]={bWinner=0_dwUserID=16450										_iNTCount=2										_i64WinMoney=-40, [1]={bWinner=0_dwUserID=0										_iNTCount=2										_i64WinMoney=40, [2]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0, [3]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0, [4]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0, [5]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0
15, 03, 37, 房间00, 密码851040, 12047e28, 03, 00, 游戏状态, 1, 用户进入, 0
15, 07, 40, 房间00, 密码851040, 12047e28, 03, 00, 		游戏状态, 1, 定时器, 51, 
15, 07, 40, 房间00, 密码, 12047e28, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
15, 15, 26, 房间00, 密码851040, 12047e28, 03, 00, 游戏状态, 1, 用户进入, 0
15, 17, 34, 房间00, 密码851040, 12047e28, 03, 00, 游戏状态, 1, 用户进入, 0
15, 28, 40, 房间00, 密码851040, 12047e28, 03, 00, 		游戏状态, 1, 定时器, 51, 
15, 28, 40, 房间00, 密码, 12047e28, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
15, 35, 10, 房间00, 密码851040, 12047e28, 03, 00, 游戏状态, 1, 用户进入, 0
16, 09, 27, 房间00, 密码851040, 12047e28, 03, 00, 		游戏状态, 1, 定时器, 51, 
16, 09, 27, 房间00, 密码, 12047e28, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
20, 30, 01, 房间00, 密码996307, 12087e41, 03, 00, 游戏状态, 1, 用户进入, 0
20, 59, 51, 房间00, 密码570294, 12087e41, 03, 00, 游戏状态, 1, 用户进入, 0
21, 02, 14, 房间00, 密码570294, 12087e41, 03, 00, 游戏状态, 1, 用户进入, 0
21, 06, 00, 房间00, 密码570294, 12087e41, 03, 00, 		游戏状态, 1, 定时器, 51, 
21, 06, 00, 房间00, 密码, 12087e41, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
22, 34, 44, 房间00, 密码570294, 12087e41, 03, 00, 游戏状态, 1, 用户进入, 0
22, 38, 12, 房间00, 密码570294, 12087e41, 03, 00, 		游戏状态, 1, 定时器, 51, 
22, 38, 12, 房间00, 密码, 12087e41, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
