15, 41, 34, 房间00, 密码627246, 31303031, 06, 00, 游戏状态, 1, 用户进入, 0
15, 43, 39, 房间01, 密码342767, 31303031, 03, 00, 游戏状态, 1, 用户进入, 0
15, 43, 56, 房间01, 密码342767, 31303031, 03, 00, 游戏状态, 1, 用户进入, 0
15, 46, 28, 房间00, 密码627246, 31303031, 06, 00, 		游戏状态, 1, 定时器, 51, 
15, 46, 28, 房间00, 密码, 31303031, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
15, 50, 56, 房间00, 密码243788, 31303031, 03, 00, 游戏状态, 1, 用户进入, 0
15, 52, 09, 房间00, 密码089093, 31303031, 03, 00, 游戏状态, 1, 用户进入, 0
16, 33, 30, 房间00, 密码089093, 31303031, 03, 00, 		游戏状态, 1, 定时器, 51, 
16, 33, 30, 房间00, 密码, 31303031, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
17, 40, 43, 房间00, 密码089093, 31303031, 03, 00, 游戏状态, 1, 用户进入, 0
17, 43, 46, 房间00, 密码089093, 31303031, 03, 00, 游戏状态, 1, 用户进入, 0
17, 47, 40, 房间00, 密码089093, 31303031, 03, 00, 游戏状态, 1, 用户进入, 0
17, 48, 52, 房间01, 密码342260, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
17, 56, 15, 房间01, 密码342260, 12047e22, 03, 00, 		游戏状态, 1, 定时器, 51, 
17, 56, 15, 房间01, 密码, 12047e22, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
17, 56, 26, 房间00, 密码089093, 31303031, 03, 00, 		游戏状态, 1, 定时器, 51, 
17, 56, 26, 房间00, 密码, 31303031, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
17, 56, 53, 房间00, 密码342260, 31303031, 03, 00, 游戏状态, 1, 用户进入, 0
18, 11, 31, 房间00, 密码076342, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
18, 12, 17, 房间01, 密码089093, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 0
18, 14, 12, 房间00, 密码076342, 12047e22, 03, 00, 游戏状态, 1, 用户进入, 1
18, 14, 30, 房间00, 密码076342, 12047e22, 03, 00, 游戏状态, 24, 服务器, 游戏开始				
18, 14, 32, 房间00, 密码076342, 12047e22, 03, 00, 		游戏状态, 24, 定时器, 38, 游戏开始定时器		 
18, 14, 32, 房间00, 密码076342, 12047e22, 03, 00, 			游戏状态, 20, 服务器, 通知抢庄结束	   		, bNTDeskStation=1, byUserState={[0]=255[1]=255[2]=255[3]=255[4]=255[5]=255}, bCatchNum={[0]=255[1]=255[2]=255[3]=255[4]=255[5]=255}, bShowDing=1
18, 14, 35, 房间00, 密码076342, 12047e22, 03, 00, 		游戏状态, 20, 定时器, 37, 抢庄结束定时器		 
18, 14, 35, 房间00, 密码076342, 12047e22, 03, 00, 游戏状态, 21, 服务器, 通知下注		   		
18, 14, 36, 房间00, 密码076342, 12047e22, 03, 00, 		游戏状态, 21, 定时器, 48, 
18, 14, 45, 房间00, 密码076342, 12047e22, 03, 00, 		游戏状态, 21, 定时器, 31, 下注计时器	
18, 14, 57, 房间00, 密码076342, 12047e22, 03, 00, 			游戏状态, 21, 服务器, 大结算					, [0]={bWinner=0_dwUserID=14605										_iNTCount=0										_i64WinMoney=0, [1]={bWinner=0_dwUserID=10902										_iNTCount=0										_i64WinMoney=0, [2]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0, [3]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0, [4]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0, [5]={bWinner=0_dwUserID=0										_iNTCount=0										_i64WinMoney=0
18, 35, 55, 房间00, 密码630236, 1204be48, 06, 00, 游戏状态, 1, 用户进入, 0
18, 40, 31, 房间00, 密码630236, 1204be48, 06, 00, 		游戏状态, 1, 定时器, 51, 
18, 40, 31, 房间00, 密码, 1204be48, 00, 00, 游戏状态, 1, 服务器, 游戏结束				
