12, 02, 42, 房间00, 密码, 00040030, 00, 00, 游戏状态, 25, 用户进入, 0
12, 02, 42, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 43, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 44, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 45, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 46, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 47, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 48, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 49, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 50, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 51, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 52, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 53, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 54, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 55, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 56, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 57, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 58, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 02, 59, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 03, 00, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 03, 01, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 03, 02, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 03, 03, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 03, 04, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
12, 21, 52, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 21, 53, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 21, 53, 房间02, 密码, 00040030, 00, 00, 游戏状态, 1, 用户进入, 0
12, 21, 54, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 21, 55, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 21, 56, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 21, 57, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 21, 58, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 21, 59, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 22, 00, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 22, 01, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 22, 02, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 22, 03, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 22, 04, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 22, 05, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 36, 07, 房间02, 密码, 00040030, 00, 00, 游戏状态, 1, 用户进入, 0
12, 36, 07, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
12, 36, 08, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
