00, 00, 00, 房间01, 密码, 00040030, 00, 00, 		游戏状态, 21, 定时器, 32, 下注完成定时器
00, 00, 00, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
00, 00, 00, 房间03, 密码, 00040030, 00, 00, 		游戏状态, 23, 客户端,  1, 玩家摆牛		   		
00, 00, 00, 房间03, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x37[1]=0x09[2]=0x06}, byUpCard{[0]=0x2B[1]=0x35}, iShape=0
00, 00, 00, 房间04, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
00, 00, 01, 房间00, 密码, 00040030, 00, 00, 游戏状态, 24, 服务器, 游戏开始				
00, 00, 01, 房间03, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 35, 游戏结束定时器
00, 00, 01, 房间03, 密码, 00040030, 00, 00, 			游戏状态, 25, 服务器, 游戏结束				, iUserState{[0]=3[1]=3[2]=0[3]=0[4]=0[5]=0}, iChangeMoney{[0]=-1[1]=1[2]=0[3]=0[4]=0[5]=0
00, 00, 01, 房间02, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x03[1]=0x36[2]=0x38}, byUpCard{[0]=0x2A[1]=0x25}, iShape=6
00, 00, 01, 房间04, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
00, 00, 01, 房间01, 密码, 00040030, 00, 00, 		游戏状态, 22, 定时器, 33, 发牌结束定时器
00, 00, 01, 房间01, 密码, 00040030, 00, 00, 游戏状态, 22, 服务器, 发牌完成		   		
00, 00, 01, 房间01, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 通知开牌摆牛	   		, iOutDeskStation=1
00, 00, 02, 房间03, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
00, 00, 02, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 35, 游戏结束定时器
00, 00, 02, 房间02, 密码, 00040030, 00, 00, 			游戏状态, 25, 服务器, 游戏结束				, iUserState{[0]=3[1]=3[2]=0[3]=0[4]=0[5]=0}, iChangeMoney{[0]=1[1]=-1[2]=0[3]=0[4]=0[5]=0
00, 00, 02, 房间01, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 48, 
00, 00, 02, 房间01, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x1B[1]=0x08[2]=0x2D}, byUpCard{[0]=0x13[1]=0x11}, iShape=6
00, 00, 02, 房间01, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x02[1]=0x16[2]=0x29}, byUpCard{[0]=0x05[1]=0x38}, iShape=5
00, 00, 03, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 24, 定时器, 38, 游戏开始定时器		 
00, 00, 03, 房间02, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
00, 00, 03, 房间01, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 35, 游戏结束定时器
00, 00, 03, 房间01, 密码, 00040030, 00, 00, 			游戏状态, 25, 服务器, 游戏结束				, iUserState{[0]=3[1]=3[2]=0[3]=0[4]=0[5]=0}, iChangeMoney{[0]=1[1]=-1[2]=0[3]=0[4]=0[5]=0
00, 00, 03, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 21, 定时器, 32, 下注完成定时器
00, 00, 04, 房间01, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
00, 00, 05, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 22, 定时器, 33, 发牌结束定时器
00, 00, 05, 房间00, 密码, 00040030, 00, 00, 游戏状态, 22, 服务器, 发牌完成		   		
00, 00, 05, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 通知开牌摆牛	   		, iOutDeskStation=1
00, 00, 06, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 48, 
00, 00, 06, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x12[1]=0x3D[2]=0x32}, byUpCard{[0]=0x14[1]=0x37}, iShape=0
00, 00, 06, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x08[1]=0x19[2]=0x1D}, byUpCard{[0]=0x03[1]=0x09}, iShape=4
00, 00, 07, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 35, 游戏结束定时器
00, 00, 07, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 25, 服务器, 游戏结束				, iUserState{[0]=3[1]=3[2]=0[3]=0[4]=0[5]=0}, iChangeMoney{[0]=-1[1]=1[2]=0[3]=0[4]=0[5]=0
00, 00, 08, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
