00, 06, 42, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
00, 06, 43, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
00, 06, 43, 房间00, 密码, 00040030, 00, 00, 游戏状态, 1, 用户进入, 0
00, 06, 44, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
00, 06, 45, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
00, 06, 46, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
00, 06, 47, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
00, 06, 48, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
00, 06, 49, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
00, 06, 50, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
00, 06, 51, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
00, 06, 52, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
00, 06, 53, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
00, 06, 54, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 46, 房间00, 密码, 00040030, 00, 00, 游戏状态, 1, 用户进入, 0
01, 24, 47, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 48, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 49, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 50, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 51, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 52, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 53, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 54, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 55, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 56, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 57, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 58, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 24, 59, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 25, 00, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 25, 01, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 42, 房间00, 密码, 00040030, 00, 00, 游戏状态, 1, 用户进入, 0
01, 39, 42, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 43, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 44, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 45, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 46, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 47, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 48, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 49, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 50, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 51, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 52, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 53, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 54, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 55, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 56, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 57, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 58, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 39, 59, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 40, 00, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 40, 01, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 40, 02, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 40, 03, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 40, 04, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 40, 05, 房间00, 密码, 00040030, 00, 00, 游戏状态, 1, 用户进入, 1
01, 40, 05, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 40, 06, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 1, 定时器, 49, 
01, 40, 07, 房间00, 密码, 00040030, 00, 00, 游戏状态, 24, 服务器, 游戏开始				
01, 40, 09, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 24, 定时器, 38, 游戏开始定时器		 
01, 40, 10, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 21, 定时器, 32, 下注完成定时器
01, 40, 11, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 22, 定时器, 33, 发牌结束定时器
01, 40, 11, 房间00, 密码, 00040030, 00, 00, 游戏状态, 22, 服务器, 发牌完成		   		
01, 40, 11, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 通知开牌摆牛	   		, iOutDeskStation=1
01, 40, 12, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 48, 
01, 40, 21, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 34, 自动摆牛计时器
01, 40, 50, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 客户端,  1, 玩家摆牛		   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x00[1]=0x00[2]=0x00}, byUpCard{[0]=0x00[1]=0x00}, iShape=0
01, 40, 50, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x14[1]=0x15[2]=0x38}, byUpCard{[0]=0x07[1]=0x22}, iShape=1
01, 40, 53, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 客户端,  0, 玩家摆牛		   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x00[1]=0x00[2]=0x00}, byUpCard{[0]=0x00[1]=0x00}, iShape=0
01, 40, 53, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x0C[1]=0x24[2]=0x04}, byUpCard{[0]=0x35[1]=0x17}, iShape=4
01, 40, 54, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 35, 游戏结束定时器
01, 40, 54, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 25, 服务器, 游戏结束				, iUserState{[0]=3[1]=3[2]=0[3]=0[4]=0[5]=0}, iChangeMoney{[0]=1[1]=-1[2]=0[3]=0[4]=0[5]=0
01, 40, 55, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 40, 56, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 40, 57, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 40, 58, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 40, 59, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 00, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 00, 房间00, 密码, 00040030, 00, 00, 游戏状态, 24, 服务器, 游戏开始				
01, 41, 02, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 24, 定时器, 38, 游戏开始定时器		 
01, 41, 03, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 21, 定时器, 32, 下注完成定时器
01, 41, 04, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 22, 定时器, 33, 发牌结束定时器
01, 41, 04, 房间00, 密码, 00040030, 00, 00, 游戏状态, 22, 服务器, 发牌完成		   		
01, 41, 04, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 通知开牌摆牛	   		, iOutDeskStation=1
01, 41, 05, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 48, 
01, 41, 07, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 客户端,  1, 玩家摆牛		   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x00[1]=0x00[2]=0x00}, byUpCard{[0]=0x00[1]=0x00}, iShape=0
01, 41, 07, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x1A[1]=0x3C[2]=0x39}, byUpCard{[0]=0x35[1]=0x26}, iShape=3
01, 41, 10, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 客户端,  0, 玩家摆牛		   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x00[1]=0x00[2]=0x00}, byUpCard{[0]=0x00[1]=0x00}, iShape=0
01, 41, 10, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x31[1]=0x09[2]=0x05}, byUpCard{[0]=0x25[1]=0x29}, iShape=0
01, 41, 11, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 35, 游戏结束定时器
01, 41, 11, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 25, 服务器, 游戏结束				, iUserState{[0]=3[1]=3[2]=0[3]=0[4]=0[5]=0}, iChangeMoney{[0]=-1[1]=1[2]=0[3]=0[4]=0[5]=0
01, 41, 12, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 13, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 14, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 15, 房间00, 密码, 00040030, 00, 00, 游戏状态, 24, 服务器, 游戏开始				
01, 41, 17, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 24, 定时器, 38, 游戏开始定时器		 
01, 41, 17, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 21, 定时器, 32, 下注完成定时器
01, 41, 19, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 22, 定时器, 33, 发牌结束定时器
01, 41, 19, 房间00, 密码, 00040030, 00, 00, 游戏状态, 22, 服务器, 发牌完成		   		
01, 41, 19, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 通知开牌摆牛	   		, iOutDeskStation=1
01, 41, 20, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 48, 
01, 41, 21, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 客户端,  0, 玩家摆牛		   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x00[1]=0x00[2]=0x00}, byUpCard{[0]=0x00[1]=0x00}, iShape=0
01, 41, 21, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=0, bReadyOpenCard{, byUnderCard{[0]=0x21[1]=0x27[2]=0x19}, byUpCard{[0]=0x02[1]=0x16}, iShape=10
01, 41, 25, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 客户端,  1, 玩家摆牛		   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x00[1]=0x00[2]=0x00}, byUpCard{[0]=0x00[1]=0x00}, iShape=0
01, 41, 25, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 23, 服务器, 玩家摆牛结果	   		, byDeskStation=1, bReadyOpenCard{, byUnderCard{[0]=0x34[1]=0x37[2]=0x36}, byUpCard{[0]=0x09[1]=0x39}, iShape=10
01, 41, 26, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 23, 定时器, 35, 游戏结束定时器
01, 41, 26, 房间00, 密码, 00040030, 00, 00, 			游戏状态, 25, 服务器, 游戏结束				, iUserState{[0]=3[1]=3[2]=0[3]=0[4]=0[5]=0}, iChangeMoney{[0]=-4[1]=4[2]=0[3]=0[4]=0[5]=0
01, 41, 27, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 28, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 29, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 30, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 31, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 32, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 33, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 34, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 35, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 36, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 37, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 38, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 39, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 40, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
01, 41, 41, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 57, 52, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 57, 53, 房间00, 密码, 00040030, 00, 00, 游戏状态, 25, 用户进入, 0
09, 57, 53, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 57, 54, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 57, 55, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 57, 56, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 57, 57, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 57, 58, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 57, 59, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 58, 00, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 58, 01, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 58, 02, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 58, 03, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
09, 58, 04, 房间00, 密码, 00040030, 00, 00, 		游戏状态, 25, 定时器, 49, 
