11,11,43,ERROR_Station,RoomID=911636,byPlayCount:3
11,11,43,Send,UserID:0,bAssID=181,
11,11,45,Reply,UserId=0,bAssID=1,    ///用户同意		 
11,12,19,ERROR_Station,RoomID=911636,byPlayCount:3
11,12,19,Send,UserID:0,bAssID=181,
11,12,19,Send,UserID:1,bAssID=181,
11,12,19,Reply,UserId=1,bAssID=1,    ///用户同意		 
11,12,23,ERROR_Station,RoomID=911636,byPlayCount:3
11,12,23,Send,UserID:0,bAssID=181,
11,12,23,Send,UserID:1,bAssID=181,
11,12,23,Send,UserID:2,bAssID=181,
11,12,25,Reply,UserId=2,bAssID=1,    ///用户同意		 
11,12,25,Send,UserID:0,bAssID=120,	//升级游戏开始	   
11,12,25,Send,UserID:1,bAssID=120,	//升级游戏开始	   
11,12,25,Send,UserID:2,bAssID=120,	//升级游戏开始	   
11,12,26,Send,UserID:0,bAssID=121,	//确定至筛子点数	  
11,12,26,Send,UserID:1,bAssID=121,	//确定至筛子点数	  
11,12,26,Send,UserID:2,bAssID=121,	//确定至筛子点数	  
11,12,29,Send,UserID:0,bAssID=122,	//发牌消息			 
11,12,29,Send,UserID:1,bAssID=122,	//发牌消息			 
11,12,29,Send,UserID:2,bAssID=122,	//发牌消息			 
11,12,30,Send,UserID:0,bAssID=123,	//通知开始出牌	   
11,12,30,Send,UserID:1,bAssID=123,	//通知开始出牌	   
11,12,30,Send,UserID:2,bAssID=123,	//通知开始出牌	   
11,16,25,ERROR_Station,RoomID=911636,byPlayCount:3
11,16,25,Send,UserID:0,bAssID=181,
11,16,25,Send,UserID:1,bAssID=181,
11,16,25,Send,UserID:2,bAssID=181,
11,16,42,Send,UserID:0,bAssID=180,
11,16,42,CalculateBoard,UserId=0,i64Money:0
11,16,42,Send,UserID:1,bAssID=180,
11,16,42,CalculateBoard,UserId=1,i64Money:0
11,16,42,Send,UserID:2,bAssID=180,
11,16,42,CalculateBoard,UserId=2,i64Money:0
11,20,17,ERROR_Station,RoomID=626398,byPlayCount:3
11,20,17,Send,UserID:0,bAssID=181,
11,20,18,Reply,UserId=0,bAssID=1,    ///用户同意		 
11,20,27,ERROR_Station,RoomID=626398,byPlayCount:3
11,20,27,Send,UserID:0,bAssID=181,
11,20,27,Send,UserID:1,bAssID=181,
11,20,28,Reply,UserId=1,bAssID=1,    ///用户同意		 
11,20,56,ERROR_Station,RoomID=626398,byPlayCount:3
11,20,56,Send,UserID:0,bAssID=181,
11,20,56,Send,UserID:1,bAssID=181,
11,20,56,Send,UserID:2,bAssID=181,
11,20,56,Reply,UserId=2,bAssID=1,    ///用户同意		 
11,20,56,Send,UserID:0,bAssID=120,	//升级游戏开始	   
11,20,56,Send,UserID:1,bAssID=120,	//升级游戏开始	   
11,20,56,Send,UserID:2,bAssID=120,	//升级游戏开始	   
11,20,57,Send,UserID:0,bAssID=121,	//确定至筛子点数	  
11,20,57,Send,UserID:1,bAssID=121,	//确定至筛子点数	  
11,20,57,Send,UserID:2,bAssID=121,	//确定至筛子点数	  
11,21,00,Send,UserID:0,bAssID=122,	//发牌消息			 
11,21,00,Send,UserID:1,bAssID=122,	//发牌消息			 
11,21,00,Send,UserID:2,bAssID=122,	//发牌消息			 
11,21,01,Send,UserID:0,bAssID=123,	//通知开始出牌	   
11,21,01,Send,UserID:1,bAssID=123,	//通知开始出牌	   
11,21,01,Send,UserID:2,bAssID=123,	//通知开始出牌	   
11,21,01,Send,UserID:1,bAssID=128,	//碰杠明胡动作消息	 
11,21,05,Reply,UserId=1,bAssID=150,	//玩家拦牌动作	   
11,21,07,Reply,UserId=1,bAssID=125,	//玩家出牌			 
11,21,07,Send,UserID:0,bAssID=126,	//玩家出牌结果 	   
