[2018-01-19 13:51:23]--断线重连, 玩家=0，状态=1
[2018-01-19 13:52:00]--断线重连, 玩家=0，状态=1
[2018-01-19 13:52:37]--断线重连, 玩家=0，状态=1
[2018-01-19 13:53:14]--断线重连, 玩家=0，状态=1
[2018-01-19 13:53:51]--断线重连, 玩家=0，状态=1
[2018-01-19 13:54:28]--断线重连, 玩家=0，状态=1
[2018-01-19 13:55:05]--断线重连, 玩家=0，状态=1
[2018-01-19 13:55:42]--断线重连, 玩家=0，状态=1
[2018-01-19 13:56:19]--断线重连, 玩家=0，状态=1
[2018-01-19 13:56:56]--断线重连, 玩家=0，状态=1
[2018-01-19 13:57:33]--断线重连, 玩家=0，状态=1
[2018-01-19 13:58:10]--断线重连, 玩家=0，状态=1
[2018-01-19 13:58:47]--断线重连, 玩家=0，状态=1
[2018-01-19 13:59:24]--断线重连, 玩家=0，状态=1
[2018-01-19 14:00:01]--断线重连, 玩家=0，状态=1
[2018-01-19 14:00:38]--断线重连, 玩家=0，状态=1
[2018-01-19 14:01:15]--断线重连, 玩家=0，状态=1
[2018-01-19 14:01:52]--断线重连, 玩家=0，状态=1
