路子数:1=10,2=0,3=4,4=0,5=6,6=0,7=1,8=1,9=8,10=0
路子数:1=4,2=0,3=6,4=0,5=1,6=1,7=8,8=0,9=10,10=0
路子数:1=6,2=0,3=1,4=1,5=8,6=0,7=10,8=0,9=0,10=0
路子数:1=1,2=1,3=8,4=0,5=10,6=0,7=0,8=0,9=1,10=0
路子数:1=8,2=0,3=10,4=0,5=0,6=0,7=1,8=0,9=7,10=0
路子数:1=10,2=0,3=0,4=0,5=1,6=0,7=7,8=0,9=0,10=0
路子数:1=0,2=0,3=1,4=0,5=7,6=0,7=0,8=0,9=2,10=0
路子数:1=1,2=0,3=7,4=0,5=0,6=0,7=2,8=0,9=9,10=0
路子数:1=7,2=0,3=0,4=0,5=2,6=0,7=9,8=0,9=5,10=0
路子数:1=0,2=0,3=2,4=0,5=9,6=0,7=5,8=0,9=1,10=0
路子数:1=2,2=0,3=9,4=0,5=5,6=0,7=1,8=0,9=10,10=0
路子数:1=9,2=0,3=5,4=0,5=1,6=0,7=10,8=0,9=2,10=0
路子数:1=5,2=0,3=1,4=0,5=10,6=0,7=2,8=0,9=9,10=0
路子数:1=1,2=0,3=10,4=0,5=2,6=0,7=9,8=0,9=7,10=0
路子数:1=10,2=0,3=2,4=0,5=9,6=0,7=7,8=0,9=2,10=0
路子数:1=2,2=0,3=9,4=0,5=7,6=0,7=2,8=0,9=10,10=0
路子数:1=9,2=0,3=7,4=0,5=2,6=0,7=10,8=0,9=3,10=0
路子数:1=7,2=0,3=2,4=0,5=10,6=0,7=3,8=0,9=9,10=0
路子数:1=2,2=0,3=10,4=0,5=3,6=0,7=9,8=0,9=4,10=2
