2019-03-12 13:47:26-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::NextTask:1222:[IM] Start Task 0845
2019-03-12 13:47:26-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnInitDialog:164:[IM] 启动机器人(V2.0)
2019-03-12 13:47:40-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnStartRobot:277:[IM] StartRobot
2019-03-12 13:47:41-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:467:[IM] 连接AServer事件192.168.0.102:13025-0
2019-03-12 13:47:41-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnConnectMessage:537:[IM] 向AServer请求全局参数信息192.168.0.102:13025
2019-03-12 13:47:41-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketReadEvent:411:[IM] 192.168.0.102:13025 AServer应答全局参数信息 MServer:192.168.0.102-3015
2019-03-12 13:47:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:485:[IM] 连接MServer事件192.168.0.102:3015-0
2019-03-12 13:47:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1028:[IM] hn1450 登陆Mserver
2019-03-12 13:48:42-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:655:[IM] hn1450 登陆成功
2019-03-12 13:48:42-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:760:[IM] hn1450 请求游戏列表
2019-03-12 13:48:42-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketReadEvent:450:[IM] hn1450 未处理消息 121:24
2019-03-12 13:48:42-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:772:[IM] hn1450 成功获取游戏类型ASS_GP_LIST_KIND
2019-03-12 13:48:42-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1450 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:42-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1450 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:42-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1450 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:42-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1450 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:42-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:801:[IM] hn1450 成功获取房间信息ASS_GP_LIST_ROOM
2019-03-12 13:48:42-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:813:[EM] hn1450 未获取到指定房间信息
2019-03-12 13:48:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:485:[IM] 连接MServer事件192.168.0.102:3015-0
2019-03-12 13:48:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1028:[IM] hn1451 登陆Mserver
2019-03-12 13:48:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:655:[IM] hn1451 登陆成功
2019-03-12 13:48:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:760:[IM] hn1451 请求游戏列表
2019-03-12 13:48:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:772:[IM] hn1451 成功获取游戏类型ASS_GP_LIST_KIND
2019-03-12 13:48:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1451 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1451 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1451 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1451 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:801:[IM] hn1451 成功获取房间信息ASS_GP_LIST_ROOM
2019-03-12 13:48:43-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:813:[EM] hn1451 未获取到指定房间信息
2019-03-12 13:48:45-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:485:[IM] 连接MServer事件192.168.0.102:3015-0
2019-03-12 13:48:45-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1028:[IM] hn1452 登陆Mserver
2019-03-12 13:48:45-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:655:[IM] hn1452 登陆成功
2019-03-12 13:48:45-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:760:[IM] hn1452 请求游戏列表
2019-03-12 13:48:45-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:772:[IM] hn1452 成功获取游戏类型ASS_GP_LIST_KIND
2019-03-12 13:48:45-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1452 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:45-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1452 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:45-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1452 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:45-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1452 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:45-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:801:[IM] hn1452 成功获取房间信息ASS_GP_LIST_ROOM
2019-03-12 13:48:45-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:813:[EM] hn1452 未获取到指定房间信息
2019-03-12 13:48:47-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:485:[IM] 连接MServer事件192.168.0.102:3015-0
2019-03-12 13:48:47-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1028:[IM] hn1453 登陆Mserver
2019-03-12 13:48:47-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:655:[IM] hn1453 登陆成功
2019-03-12 13:48:47-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:760:[IM] hn1453 请求游戏列表
2019-03-12 13:48:47-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:772:[IM] hn1453 成功获取游戏类型ASS_GP_LIST_KIND
2019-03-12 13:48:47-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1453 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:47-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1453 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:47-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1453 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:47-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1453 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:47-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:801:[IM] hn1453 成功获取房间信息ASS_GP_LIST_ROOM
2019-03-12 13:48:47-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:813:[EM] hn1453 未获取到指定房间信息
2019-03-12 13:48:49-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:485:[IM] 连接MServer事件192.168.0.102:3015-0
2019-03-12 13:48:49-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1028:[IM] hn1454 登陆Mserver
2019-03-12 13:48:49-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:655:[IM] hn1454 登陆成功
2019-03-12 13:48:49-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:760:[IM] hn1454 请求游戏列表
2019-03-12 13:48:49-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:772:[IM] hn1454 成功获取游戏类型ASS_GP_LIST_KIND
2019-03-12 13:48:49-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1454 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:49-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1454 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:49-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1454 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:49-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1454 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:49-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:801:[IM] hn1454 成功获取房间信息ASS_GP_LIST_ROOM
2019-03-12 13:48:49-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:813:[EM] hn1454 未获取到指定房间信息
2019-03-12 13:48:51-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:485:[IM] 连接MServer事件192.168.0.102:3015-0
2019-03-12 13:48:51-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1028:[IM] hn1455 登陆Mserver
2019-03-12 13:48:51-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:655:[IM] hn1455 登陆成功
2019-03-12 13:48:51-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:760:[IM] hn1455 请求游戏列表
2019-03-12 13:48:51-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:772:[IM] hn1455 成功获取游戏类型ASS_GP_LIST_KIND
2019-03-12 13:48:51-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1455 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:51-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1455 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:51-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1455 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:51-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1455 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:51-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:801:[IM] hn1455 成功获取房间信息ASS_GP_LIST_ROOM
2019-03-12 13:48:51-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:813:[EM] hn1455 未获取到指定房间信息
2019-03-12 13:48:53-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:485:[IM] 连接MServer事件192.168.0.102:3015-0
2019-03-12 13:48:53-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1028:[IM] hn1456 登陆Mserver
2019-03-12 13:48:53-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:655:[IM] hn1456 登陆成功
2019-03-12 13:48:53-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:760:[IM] hn1456 请求游戏列表
2019-03-12 13:48:53-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:772:[IM] hn1456 成功获取游戏类型ASS_GP_LIST_KIND
2019-03-12 13:48:53-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1456 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:53-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1456 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:53-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1456 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:53-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:779:[IM] hn1456 成功获取游戏名字ASS_GP_LIST_NAME
2019-03-12 13:48:53-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:801:[IM] hn1456 成功获取房间信息ASS_GP_LIST_ROOM
2019-03-12 13:48:53-[14196]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:813:[EM] hn1456 未获取到指定房间信息
