2018-03-10 11:21:00-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:470:[EM] 连接MServer事件dzb.hotniao.com:3015-10061
2018-03-10 11:21:02-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:470:[EM] 连接MServer事件dzb.hotniao.com:3015-10061
2018-03-10 11:21:04-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:470:[EM] 连接MServer事件dzb.hotniao.com:3015-10061
2018-03-10 11:21:14-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:470:[EM] 连接MServer事件dzb.hotniao.com:3015-10061
2018-03-10 11:21:16-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:470:[EM] 连接MServer事件dzb.hotniao.com:3015-10061
2018-03-10 11:21:18-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:470:[EM] 连接MServer事件dzb.hotniao.com:3015-10061
2018-03-10 11:21:20-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:470:[EM] 连接MServer事件dzb.hotniao.com:3015-10061
2018-03-10 11:21:24-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:470:[EM] 连接MServer事件dzb.hotniao.com:3015-10061
2018-03-10 11:21:25-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:463:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-03-10 11:21:26-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1001:[IM] hn1405 登陆Mserver
2018-03-10 11:21:26-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:633:[IM] hn1405 登陆成功
2018-03-10 11:21:26-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:737:[IM] hn1405 请求游戏列表
2018-03-10 11:21:26-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketReadEvent:428:[IM] hn1405 未处理消息 121:24
2018-03-10 11:21:26-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:749:[IM] hn1405 成功获取游戏类型ASS_GP_LIST_KIND
2018-03-10 11:21:26-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1405 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:26-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1405 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:26-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1405 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:26-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:756:[IM] hn1405 成功获取游戏名字ASS_GP_LIST_NAME
2018-03-10 11:21:26-[17856]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:778:[IM] hn1405 成功获取房间信息ASS_GP_LIST_ROOM
