2018-05-29 14:32:23-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::NextTask:1224:[IM] Start Task 0845
2018-05-29 14:32:23-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnInitDialog:161:[IM] 启动机器人(V2.0)
2018-05-29 14:32:26-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnStartRobot:274:[IM] StartRobot
2018-05-29 14:32:27-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:456:[IM] 连接AServer事件112.74.18.143:13025-0
2018-05-29 14:32:27-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnConnectMessage:526:[IM] 向AServer请求全局参数信息112.74.18.143:13025
2018-05-29 14:32:27-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketReadEvent:400:[IM] 112.74.18.143:13025 AServer应答全局参数信息 MServer:dzb.hotniao.com-3015
2018-05-29 14:32:29-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketConnectEvent:474:[IM] 连接MServer事件dzb.hotniao.com:3015-0
2018-05-29 14:32:29-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::LoginMServer:1012:[IM] hn2200 登陆Mserver
2018-05-29 14:32:29-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnLogonMessage:644:[IM] hn2200 登陆成功
2018-05-29 14:32:29-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::GetGameRoomList:748:[IM] hn2200 请求游戏列表
2018-05-29 14:32:29-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnSocketReadEvent:439:[IM] hn2200 未处理消息 121:24
2018-05-29 14:32:29-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:760:[IM] hn2200 成功获取游戏类型ASS_GP_LIST_KIND
2018-05-29 14:32:29-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2200 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:29-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2200 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:29-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2200 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:29-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:767:[IM] hn2200 成功获取游戏名字ASS_GP_LIST_NAME
2018-05-29 14:32:29-[8056]Auto_AIDlg.cpp:CAuto_AIDlg::OnListMessage:789:[IM] hn2200 成功获取房间信息ASS_GP_LIST_ROOM
